77;tid2026.05.27-11:26:09;krd61.80205-34.32969-5;sim31-vg4.12-vc4.50;ddt4-d670;
82;tid2026.05.27-11:26:22;krd61.80205-34.32969-6;sim31-vg4.12-vc4.55;ddt14-d2628;
87;tid2026.05.27-11:26:34;krd61.80203-34.32974-6;sim31-vg4.12-vc4.55;ddt24-d3953;
92;tid2026.05.27-11:26:46;krd61.80201-34.32984-6;sim31-vg4.12-vc4.55;ddt34-d5291;
97;tid2026.05.27-11:26:59;krd61.80204-34.32995-7;sim31-vg4.12-vc4.55;ddt44-d6549;
102;tid2026.05.27-11:27:11;krd61.80201-34.32986-6;sim31-vg4.12-vc4.55;ddt54-d7729;
107;tid2026.05.27-11:27:23;krd61.80202-34.32982-6;sim31-vg4.12-vc4.55;ddt64-d8672;
112;tid2026.05.27-11:27:36;krd61.80203-34.32979-6;sim31-vg4.12-vc4.55;ddt74-d9548;
5;tid2026.05.27-11:27:53;krd61.80204-34.32968-6;sim31-vg4.12-vc4.53;ddt8-d834;
20;tid2026.05.27-11:28:30;krd61.80223-34.32911-4;sim31-vg4.12-vc4.55;ddt38-d4588;
25;tid2026.05.27-11:28:42;krd61.80201-34.32967-5;sim31-vg4.12-vc4.55;ddt48-d10459;
5;tid2026.05.27-11:29:01;krd61.80185-34.33035-4;sim31-vg4.12-vc4.53;ddt8-d961;
20;tid2026.05.27-11:29:38;krd61.80146-34.33191-5;sim31-vg4.12-vc4.53;ddt38-d11129;
25;tid2026.05.27-11:29:50;krd61.80163-34.33108-5;sim31-vg4.12-vc4.54;ddt48-d15851;
30;tid2026.05.27-11:30:03;krd61.80167-34.33084-6;sim31-vg4.12-vc4.54;ddt58-d17264;
35;tid2026.05.27-11:30:15;krd61.80174-34.33062-5;sim31-vg4.12-vc4.55;ddt68-d19627;
40;tid2026.05.27-11:30:27;krd61.80179-34.33037-5;sim31-vg4.12-vc4.55;ddt78-d20998;
45;tid2026.05.27-11:30:40;krd61.80185-34.33024-5;sim31-vg4.12-vc4.55;ddt88-d22092;
50;tid2026.05.27-11:30:52;krd61.80189-34.33018-5;sim31-vg4.12-vc4.55;ddt98-d23065;
55;tid2026.05.27-11:31:04;krd61.80187-34.33023-5;sim31-vg4.12-vc4.56;ddt108-d23895;
60;tid2026.05.27-11:31:17;krd61.80188-34.33031-5;sim31-vg4.12-vc4.55;ddt118-d25353;
65;tid2026.05.27-11:31:29;krd61.80198-34.33005-5;sim31-vg4.12-vc4.55;ddt128-d27336;
70;tid2026.05.27-11:31:41;krd61.80200-34.32999-4;sim31-vg4.12-vc4.55;ddt138-d29163;
75;tid2026.05.27-11:31:54;krd61.80194-34.33006-4;sim31-vg4.12-vc4.54;ddt148-d30692;
80;tid2026.05.27-11:32:06;krd61.80197-34.33001-4;sim31-vg4.12-vc4.55;ddt158-d31867;
85;tid2026.05.27-11:32:18;krd61.80198-34.33002-4;sim31-vg4.12-vc4.55;ddt168-d32555;
90;tid2026.05.27-11:32:31;krd61.80188-34.33038-4;sim31-vg4.12-vc4.53;ddt178-d35142;
95;tid2026.05.27-11:32:43;krd61.80188-34.33033-5;sim31-vg4.12-vc4.52;ddt188-d35996;
